pid,BRAND
85649,BRAND_0
85651,BRAND_0
85657,BRAND_0
85665,BRAND_0
85699,BRAND_0
85700,BRAND_0
85702,BRAND_0
85736,BRAND_0
85742,BRAND_0
85762,BRAND_0
85823,BRAND_0
85872,BRAND_0
85907,BRAND_0
85911,BRAND_0
85923,BRAND_0
85925,BRAND_0
85940,BRAND_0
85950,BRAND_0
85965,BRAND_0
85976,BRAND_0
85984,BRAND_0
86010,BRAND_0
86021,BRAND_0
86064,BRAND_0
86410,BRAND_0
86437,BRAND_0
86451,BRAND_0
86469,BRAND_0
86489,BRAND_0
86513,BRAND_0
86552,BRAND_0
86557,BRAND_0
86563,BRAND_0
86569,BRAND_0
86573,BRAND_0
86576,BRAND_0
86641,BRAND_0
86707,BRAND_0
86766,BRAND_0
86801,BRAND_0
86870,BRAND_0
86942,BRAND_0
86963,BRAND_0
86985,BRAND_0
86989,BRAND_0
87010,BRAND_0
87029,BRAND_0
87031,BRAND_0
87043,BRAND_0
87054,BRAND_0
87060,BRAND_0
87074,BRAND_0
87180,BRAND_0
87194,BRAND_0
87363,BRAND_0
87364,BRAND_0
87449,BRAND_0
87619,BRAND_0
87630,BRAND_0
87631,BRAND_0
87656,BRAND_0
87672,BRAND_0
87764,BRAND_0
87785,BRAND_0
87840,BRAND_0
87871,BRAND_0
88047,BRAND_0
88141,BRAND_0
88169,BRAND_0
88171,BRAND_0
88172,BRAND_0
88189,BRAND_0
88191,BRAND_0
88211,BRAND_0
88396,BRAND_0
88421,BRAND_0
88458,BRAND_0
88463,BRAND_0
88591,BRAND_0
88614,BRAND_0
88622,BRAND_0
88780,BRAND_0
88783,BRAND_0
88802,BRAND_0
88818,BRAND_0
88819,BRAND_0
88828,BRAND_0
88846,BRAND_0
88872,BRAND_0
88899,BRAND_0
88935,BRAND_0
88956,BRAND_0
89008,BRAND_0
89017,BRAND_0
89021,BRAND_0
89047,BRAND_0
89138,BRAND_0
89199,BRAND_0
89237,BRAND_0
89259,BRAND_0
89317,BRAND_0
89327,BRAND_0
89723,BRAND_0
89806,BRAND_0
89812,BRAND_0
89830,BRAND_0
89836,BRAND_0
89837,BRAND_0
89859,BRAND_0
89936,BRAND_0
89946,BRAND_0
89960,BRAND_0
89990,BRAND_0
90036,BRAND_0
90045,BRAND_0
90082,BRAND_0
90143,BRAND_0
90147,BRAND_0
90152,BRAND_0
90287,BRAND_0
90295,BRAND_0
90358,BRAND_0
90373,BRAND_0
90392,BRAND_0
90511,BRAND_0
90522,BRAND_0
90530,BRAND_0
90544,BRAND_0
90549,BRAND_0
90600,BRAND_0
90634,BRAND_0
90641,BRAND_0
90658,BRAND_0
90665,BRAND_0
90716,BRAND_0
90727,BRAND_0
90728,BRAND_0
90772,BRAND_0
90779,BRAND_0
90784,BRAND_0
90841,BRAND_0
90855,BRAND_0
90873,BRAND_0
90897,BRAND_0
90906,BRAND_0
90929,BRAND_0
90968,BRAND_0
91038,BRAND_0
91065,BRAND_0
91092,BRAND_0
91140,BRAND_0
91193,BRAND_0
91207,BRAND_0
91213,BRAND_0
91216,BRAND_0
91263,BRAND_0
91296,BRAND_0
91377,BRAND_0
91413,BRAND_0
91424,BRAND_0
91434,BRAND_0
91435,BRAND_0
91453,BRAND_0
91485,BRAND_0
91500,BRAND_0
91504,BRAND_0
91541,BRAND_0
91605,BRAND_0
91618,BRAND_0
91654,BRAND_0
91655,BRAND_0
91657,BRAND_0
91674,BRAND_0
91692,BRAND_0
91707,BRAND_0
91744,BRAND_0
91753,BRAND_0
91760,BRAND_0
92161,BRAND_0
92171,BRAND_0
92176,BRAND_0
92187,BRAND_0
92192,BRAND_0
92246,BRAND_0
92266,BRAND_0
92268,BRAND_0
92274,BRAND_0
92301,BRAND_0
92318,BRAND_0
92327,BRAND_0
92372,BRAND_0
92420,BRAND_0
92571,BRAND_0
92650,BRAND_0
92669,BRAND_0
92703,BRAND_0
92748,BRAND_0
92765,BRAND_0
92767,BRAND_0
92794,BRAND_0
92863,BRAND_0
92909,BRAND_0
92919,BRAND_0
92952,BRAND_0
92986,BRAND_0
92999,BRAND_0
93012,BRAND_0
93018,BRAND_0
93037,BRAND_0
93112,BRAND_0
93114,BRAND_0
93157,BRAND_0
93158,BRAND_0
93245,BRAND_0
93330,BRAND_0
93336,BRAND_0
93382,BRAND_0
93414,BRAND_0
93429,BRAND_0
93473,BRAND_0
93489,BRAND_0
93492,BRAND_0
93554,BRAND_0
93587,BRAND_0
93652,BRAND_0
93698,BRAND_0
93742,BRAND_0
93765,BRAND_0
93787,BRAND_0
93858,BRAND_0
93863,BRAND_0
93866,BRAND_0
93875,BRAND_0
93898,BRAND_0
93910,BRAND_0
93915,BRAND_0
94022,BRAND_0
94040,BRAND_0
94105,BRAND_0
94114,BRAND_0
94119,BRAND_0
94132,BRAND_0
