pid,DTYPE
63847,DEVICE_TYPE_35
63848,DEVICE_TYPE_34
63849,DEVICE_TYPE_156
63850,DEVICE_TYPE_27
63851,DEVICE_TYPE_27
63852,DEVICE_TYPE_111
63853,DEVICE_TYPE_135
63854,DEVICE_TYPE_12
63854,DEVICE_TYPE_156
63854,DEVICE_TYPE_34
63854,DEVICE_TYPE_35
63855,DEVICE_TYPE_156
63856,DEVICE_TYPE_34
63857,DEVICE_TYPE_93
63858,DEVICE_TYPE_111
63859,DEVICE_TYPE_35
63860,DEVICE_TYPE_34
63861,DEVICE_TYPE_108
63862,DEVICE_TYPE_111
63862,DEVICE_TYPE_135
63863,DEVICE_TYPE_27
63864,DEVICE_TYPE_93
63865,DEVICE_TYPE_107
63866,DEVICE_TYPE_135
63867,DEVICE_TYPE_99
63867,DEVICE_TYPE_135
63868,DEVICE_TYPE_93
63869,DEVICE_TYPE_34
63869,DEVICE_TYPE_35
63870,DEVICE_TYPE_135
63871,DEVICE_TYPE_135
63872,DEVICE_TYPE_34
63873,DEVICE_TYPE_111
63874,DEVICE_TYPE_107
63875,DEVICE_TYPE_37
63876,DEVICE_TYPE_109
63877,DEVICE_TYPE_95
63878,DEVICE_TYPE_135
63879,DEVICE_TYPE_110
63879,DEVICE_TYPE_135
63880,DEVICE_TYPE_109
63880,DEVICE_TYPE_108
63881,DEVICE_TYPE_111
63882,DEVICE_TYPE_135
63883,DEVICE_TYPE_34
63884,DEVICE_TYPE_135
63885,DEVICE_TYPE_135
63886,DEVICE_TYPE_35
63887,DEVICE_TYPE_34
63888,DEVICE_TYPE_111
63888,DEVICE_TYPE_88
63889,DEVICE_TYPE_103
63890,DEVICE_TYPE_68
63891,DEVICE_TYPE_117
63892,DEVICE_TYPE_34
63893,DEVICE_TYPE_27
63894,DEVICE_TYPE_109
63894,DEVICE_TYPE_88
63895,DEVICE_TYPE_23
63895,DEVICE_TYPE_135
63896,DEVICE_TYPE_135
63897,DEVICE_TYPE_103
63898,DEVICE_TYPE_107
63898,DEVICE_TYPE_88
63899,DEVICE_TYPE_34
63900,DEVICE_TYPE_103
63901,DEVICE_TYPE_109
63902,DEVICE_TYPE_135
63903,DEVICE_TYPE_34
63904,DEVICE_TYPE_34
63905,DEVICE_TYPE_109
63905,DEVICE_TYPE_135
63906,DEVICE_TYPE_34
63907,DEVICE_TYPE_12
63907,DEVICE_TYPE_135
63908,DEVICE_TYPE_23
63908,DEVICE_TYPE_88
63908,DEVICE_TYPE_135
63909,DEVICE_TYPE_107
63910,DEVICE_TYPE_35
63911,DEVICE_TYPE_105
63911,DEVICE_TYPE_113
63912,DEVICE_TYPE_93
63913,DEVICE_TYPE_111
63914,DEVICE_TYPE_98
63915,DEVICE_TYPE_111
63916,DEVICE_TYPE_99
63917,DEVICE_TYPE_35
63918,DEVICE_TYPE_108
63919,DEVICE_TYPE_135
63920,DEVICE_TYPE_109
63921,DEVICE_TYPE_159
63921,DEVICE_TYPE_111
63922,DEVICE_TYPE_107
63923,DEVICE_TYPE_135
63924,DEVICE_TYPE_99
63925,DEVICE_TYPE_156
63926,DEVICE_TYPE_35
63927,DEVICE_TYPE_111
63927,DEVICE_TYPE_88
63928,DEVICE_TYPE_107
63929,DEVICE_TYPE_34
63930,DEVICE_TYPE_27
63931,DEVICE_TYPE_108
63932,DEVICE_TYPE_146
63933,DEVICE_TYPE_111
63933,DEVICE_TYPE_88
63934,DEVICE_TYPE_156
63935,DEVICE_TYPE_111
63936,DEVICE_TYPE_111
63937,DEVICE_TYPE_109
63938,DEVICE_TYPE_34
63939,DEVICE_TYPE_34
63939,DEVICE_TYPE_88
63940,DEVICE_TYPE_102
63941,DEVICE_TYPE_99
63942,DEVICE_TYPE_35
63943,DEVICE_TYPE_35
63944,DEVICE_TYPE_111
63945,DEVICE_TYPE_107
63946,DEVICE_TYPE_108
63947,DEVICE_TYPE_35
63948,DEVICE_TYPE_151
63949,DEVICE_TYPE_135
63950,DEVICE_TYPE_135
63951,DEVICE_TYPE_12
63951,DEVICE_TYPE_135
63952,DEVICE_TYPE_119
63953,DEVICE_TYPE_135
63954,DEVICE_TYPE_151
63955,DEVICE_TYPE_34
63956,DEVICE_TYPE_34
63956,DEVICE_TYPE_35
63957,DEVICE_TYPE_111
63957,DEVICE_TYPE_135
63958,DEVICE_TYPE_27
63959,DEVICE_TYPE_27
63960,DEVICE_TYPE_111
63961,DEVICE_TYPE_111
63962,DEVICE_TYPE_108
63963,DEVICE_TYPE_156
63964,DEVICE_TYPE_99
63965,DEVICE_TYPE_109
63966,DEVICE_TYPE_111
63967,DEVICE_TYPE_34
63968,DEVICE_TYPE_35
63969,DEVICE_TYPE_35
63969,DEVICE_TYPE_88
63970,DEVICE_TYPE_109
63971,DEVICE_TYPE_35
63972,DEVICE_TYPE_27
63973,DEVICE_TYPE_108
63974,DEVICE_TYPE_135
63975,DEVICE_TYPE_135
